,pretty_comp,kpoint_length_unit
4586,Ca2CeO4,50
4587,Li2Fe3CuO8,55
4588,Li2Mn3SnO8,50
4589,BeCN2,45
4590,Y2ZnCu,70
4591,K4Au6S5,65
4592,Y2Sn2O7,50
4593,Ag3P,90
4594,K2SmF5,50
4595,Li2TiO3,45
4596,CeIn2Ir,70
4597,TmBi,100
4598,Tc3P,65
4599,FeP2O7,55
4600,Ce(MnSi)2,55
4601,Be2BiPd,130
4602,HgMoO4,50
4603,Ta2BeMo,90
4604,Sr2YReO6,70
4605,Ba4SbSe,70
4606,BaTl2Cl,120
4607,PrMnSi,65
4608,NbInSe2,90
4609,CuCl,50
4610,TmAs,55
4611,NiAgTe2,70
4612,Be2InPd,95
4613,Li3CuF4,45
4614,Y3Sc2Al3O2,50
4615,Th3N4,50
4616,Sc2BeCl,75
4617,KInTe2,55
4618,VTeO4,55
4619,Li4V2Cr3(FeO2)3,50
4620,Cd2P3I,55
4621,HfZrBe,70
4622,Ba4ZnCo,80
4623,CeSbAu,65
4624,ThTeO,55
4625,MgBi2O5,50
4626,BaNaTe,100
4627,Al(MoS2)4,55
4628,U(NiGe)2,55
4629,Mg2Ta2SnO8,50
4630,AsPd2Rh,70
4631,CaTaBe,50
4632,PrInCu2,95
4633,Tb(PRu)2,75
4634,V3B4,60
4635,MgSnF6,45
4636,GaPt3,80
4637,ThRu2,95
4638,NdZnAsO,65
4639,Ba4SiP,90
4640,Ge3Sb,170
4641,CaBeCu2,115
4642,AsOs2Cl,90
4643,Ca2SnHg,105
4644,ErB3Mo,90
4645,Pr3InO,95
4646,Li2GaSb,95
4647,NaBeV2,85
4648,YAg,95
4649,K2NaTlO3,55
4650,Pu2InRh2,80
4651,HfCoO3,55
4652,Te2Os,85
4653,LiTiTe2,90
4654,YAu2,100
4655,Mn2AlCo,60
4656,Ta2MoOs,100
4657,TmBiO3,50
4658,H(WO3)2,55
4659,MnBeRh2,90
4660,BeNbSi2,65
4661,Li2Mn3O6,55
4662,BeRuBr4,90
4663,KBe2Pt,80
4664,HfBrN,45
4665,CaMg(SiO3)2,50
4666,NaPd2Pb,100
4667,CaCu3(Ge2O)2,50
4668,Be2GeOs,90
4669,Li4V3Fe,55
4670,PrZnSbO,70
4671,LiIn2Pd,110
4672,LiAlAs2O7,50
4673,RbSmSe2,55
4674,LuThRu2,100
4675,LiTmPt2,85
4676,TiFe,65
4677,Ga2NiO4,60
4678,TaTiAl,85
4679,SmNiAs,65
4680,Mg2PdPt,85
4681,HoAgPb,75
4682,Ho2ZnIn,100
4683,BaCu,90
4684,Ni3GeC,70
4685,NbPbS2,125
4686,Sr2CoMoO6,60
4687,RbUAuSe3,55
4688,K2HgS2,55
4689,Na4CdP2,55
4690,BeSnBi,70
4691,TmGaO3,50
4692,UBi2,90
4693,NiH6C4S4(N4Cl)2,50
4694,ZrBe2Sb,100
4695,Tm3PbC,100
4696,FeAgS2,55
4697,Pm2SnHg,120
4698,NaPH3NO3,50
4699,TiCdRh2,95
4700,SrZnCl4,45
4701,YbErPd2,115
4702,P2Ir,60
4703,TlCrTe2,60
4704,BeVSe2,55
4705,HoCdAg2,105
4706,LiGa2Ir,90
4707,La2MgBe,65
4708,LaYbHg2,90
4709,NbI2O,55
4710,Rb2NiO2,45
4711,Tl2S5,55
4712,ScHgAu2,70
4713,Li2CeAl,50
4714,CeSiRh2,70
4715,Ca2MgSi2O7,50
4716,ZrSbRu,85
4717,Er3Mn3Ga2Si,75
4718,HfInCu2,85
4719,Tb5Si3,90
4720,Tl2Sn2S5,80
4721,TaBeO3,75
4722,Li(CrS2)2,60
4723,YCd3,70
4724,MgSi2SnO6,50
4725,CuN,60
4726,ZrBeSb4,125
4727,CaTi(SiO3)2,60
4728,K3TaO8,45
4729,TmSnRu2,85
4730,SiBi2O5,50
4731,CoPSe,60
4732,Tb(FeB)2,65
4733,VSe,65
4734,CoTe2,85
4735,SmTiGe,55
4736,TiBeV,55
4737,NdNiO2,80
4738,PrAlPt,110
4739,BaHfBi2,140
4740,Tb2SbO2,55
4741,H2C,50
4742,Nb2Bi2PbO9,50
4743,Mn2GeW,100
4744,LaSb,75
4745,YbCdCu4,85
4746,Fe4Cu3O2,55
4747,BeGe2Br,90
4748,Ba(AsPd)2,120
4749,Yb2CdSb2,70
4750,ScInCu4,65
4751,AlCuO3,130
4752,As(IF3)2,45
4753,Ba4ZrSc,65
4754,CeSnAu2,90
4755,VPd3,70
4756,Be2SnBr,50
4757,Be2TcCl,110
4758,TiFe2Si,55
4759,Ca5W(N2O)2,50
4760,BaCr2Te,65
4761,TaTcPb2,60
4762,Ta2N,75
4763,BaLiBr,60
4764,Sm3Si,80
4765,BeV2Ge,55
4766,Be2SiRh,90
4767,PrN,80
4768,Sr2MnClO3,65
4769,K4TaBe,90
4770,HPbBrO,50
4771,ScHO2,45
4772,Na2BeNb,60
4773,BeIrBr,100
4774,Ba4HfSb,65
4775,Nd2MgCu2,95
4776,SmDyO3,55
4777,TiCo,70
4778,LiYbAlF6,45
4779,AlGaO3,50
4780,MnBePd,65
4781,TmSnRh2,65
4782,Li4V3Fe5O6,50
4783,ErMgHg2,110
4784,PrS2,125
4785,Sc2TcHg,80
4786,Mg4MnBe,85
4787,NbNiB2,90
4788,RbTbSe2,55
4789,Sm3AlC,70
4790,BaV4ZnO8,60
4791,MnSiNi,85
4792,NaCo3O4,65
4793,Dy2IrPd,105
4794,SrS,55
4795,FeNiGe,65
4796,GaRh,65
4797,MgPdF6,45
4798,Sn3(PO)4,50
4799,SrAlGeH,60
4800,VSb2,90
4801,Ce2SeO2,50
4802,Er2MgTl,100
4803,NdLuTl2,115
4804,MnBe2Cu,60
4805,BeTlTc4,80
4806,Li5Mn3Cr2,45
4807,TmAlAg2,70
4808,InGaO3,50
4809,Cr23C6,60
4810,SrZrO3,115
4811,BaScSb,70
4812,KUO3,50
4813,MgVF6,50
4814,Mg3Nb6O,45
4815,KCeS2,50
4816,Rb5FeO4,60
4817,KSn2Cl5,50
4818,BeReSn2,105
4819,Ba4BiBr,80
4820,MoN2,95
4821,Fe(BO2)2,50
4822,AlFe2W,90
4823,MnC4NO5,45
4824,SrMnBe2,55
4825,CeH2,45
4826,Yb3Re,90
4827,Lu2Sn2O7,50
4828,LuBr3,55
4829,TmTh3,110
4830,TbIr2,100
4831,Ti3NiS6,90
4832,SrBeTe2,115
4833,ZrMo3,110
4834,MgCrF6,45
4835,U2Al3C4,70
4836,BaOsPd2,95
4837,Nd(BIr)4,75
4838,NdB2Rh3,90
4839,C(ClF)2,45
4840,Li2ZrN2,55
4841,CeZn,65
4842,BaInMo2,85
4843,CuP2(HO)4,55
4844,K3In,120
4845,BaNd,90
4846,K2Th(CuS2)2,60
4847,Mn2Si2O7,50
4848,HfMg3,100
4849,Tm3Mg,65
4850,Ba2TlNi2O7,95
4851,Na3FeS3,55
4852,MgScPd2,75
4853,U2PdS4,50
4854,Mg(As2Rh3)2,90
4855,ErFeC2,80
4856,BeNiIr,115
4857,BeSi2Sn,95
4858,YHSe,50
4859,PrZnIn,115
4860,TlPd2Au,100
4861,K2NdPCO7,50
4862,ZrMn2As,65
4863,NaSbS2,65
4864,YbMgHg2,115
4865,Li2Mn7F6,45
4866,Li2CuAu,50
4867,Al2Sn2O7,55
4868,Li3V(OF)2,55
4869,ThHg2,105
4870,ZrReAs,85
4871,BaMg(SnO2)4,90
4872,TbB6,90
4873,Li3CuS2,55
4874,Pu3Sc,60
4875,Ba2UFeO6,55
4876,Hg2TeO3,55
4877,DyTiSi,95
4878,LiBi3(BrO2)2,60
4879,LiScVO4,50
4880,TmCd,95
4881,AgBiO3,60
4882,RbAl(H2N)4,50
4883,LiBeSb,95
4884,NbAlO4,50
4885,Hg3SbAsS3,60
4886,Na2SeO4,45
4887,MgFe2O5,55
4888,AcCuO3,115
4889,LaMgCd2,95
4890,Te3MoWSe,60
4891,CaTiO3,55
4892,HoSi2,85
4893,KB6,90
4894,ErGaCo,95
4895,NbRh,75
4896,TbOF,40
4897,HgBr2,50
4898,AgF,55
4899,Co2CuO4,50
4900,PrCdAu2,100
4901,DyCu,115
4902,Al6Fe,100
4903,NaTeH6O6F,45
4904,Lu2AgIr,105
4905,BeNiPd2,60
4906,Sr2YTlFe2O7,75
4907,Y(MnGe)6,115
4908,SiTc2W,75
4909,PbF4,45
4910,YbYPd2,110
4911,Cu2Sb4S3,70
4912,Na2Co2O3,55
4913,SrPd2,75
4914,ReH4NO4,40
4915,Ba4MgGa,85
4916,Y2CuRh,85
4917,LiBeH3,55
4918,MgRe3,80
4919,Rb2NaBiCl6,50
4920,ScGa2,100
4921,KNa2,125
4922,SmVO3,80
4923,BaHCl,50
4924,TmIn5Co,90
4925,SrBe2Zn,70
4926,SmCuPb,95
4927,Na2ZnBr4,60
4928,AcPbAu2,85
4929,Y3Ge4,100
4930,K3Hg,80
4931,LaBeO3,85
4932,Li2Mn3GaO8,45
4933,TmSe,85
4934,K2NbCl6,55
4935,Li4VO4F,45
4936,Li2Fe3O3F5,45
4937,Ca3Al7Cu2,70
4938,Tm2ZnTc,100
4939,RuRh3,85
4940,HoAsPd,75
4941,Be2BiRu,105
4942,MgMnPt2,75
4943,Tm2CdSe4,65
4944,Te2AuI,105
4945,SiGeAs,110
4946,Sr3MnN3,60
4947,NpAs2,55
4948,ZnGaRh2,90
4949,Tl(CuTe)2,110
4950,BeRuCl4,90
4951,NpSb,50
4952,Rb2S5,50
4953,Dy(BiO2)3,50
4954,ZnCuAu2,100
4955,NdPd3S4,100
4956,K3BS3,50
4957,LiEr2Os,80
4958,ScPt,85
4959,Ce(PRu)2,60
4960,Sr(AgGe)2,110
4961,Ba4ZrTa,75
4962,MnSnAs,70
4963,Ca2CuO3,80
4964,Yb3Sm3S8,65
4965,TlI3,60
4966,TbHg2,95
4967,Tl2SO4,50
4968,YBeBr4,75
4969,ScAu4,80
4970,Ba4CoCl,90
4971,PrAl2,100
4972,Ce(MnAl2)4,60
4973,Mg3Al4,160
4974,RbInTe2,55
4975,AcF3,45
4976,BaSrHf,65
4977,LiP(HO)2,45
4978,ErNi4B,80
4979,Cr3SbO8,55
4980,Be2NiPt,70
4981,MgBeSe,80
4982,TaZn2CuO6,50
4983,HfAsRu,85
4984,Yb2TlPb,120
4985,MnCr2O4,55
4986,Ga3BN4,50
4987,K2Mn2O3,60
4988,K3MnO4,45
4989,BaGaBr,60
4990,MnSbPd,60
4991,Ba4LaZr,75
4992,ZrMnGe,65
4993,Ba4NbTl,95
4994,TbAlNi,75
4995,K2BaZn,100
4996,Co5SbO2,60
4997,HoSnRh,115
4998,UAlNi4,60
4999,Ba4TlFe,70
5000,PmSmHg2,100
5001,NiAsPb,105
5002,BC,90
5003,Ni4B3,65
5004,Sr2MgCd,105
5005,BaBiCl,60
5006,ScTlCd,75
5007,Pm2PtRh,95
5008,YWF5,55
5009,Sr3Mn4O2,50
5010,K2RbBiSe3,65
5011,TaNi2,65
5012,NaInAg2,105
5013,SrGa2,70
5014,Li2AgSn,120
5015,La3Cu4(P2O)2,80
5016,SrPd,100
5017,LiBC,50
5018,Ac3Tl,95
5019,ZnPdF6,45
5020,Mn2Sb,60
5021,BaPdRh2,75
5022,Mo3Se4,70
5023,Li3Cu3TeO8,55
5024,NbFeB,95
5025,Pd(PbCl3)2,55
5026,NaMn7O2,60
5027,TcAgO4,45
5028,Er2Ti3Si4,75
5029,Pm2O3,50
5030,TiCo2,60
5031,Rb3BAs2,60
5032,BeFe4Pb,55
5033,InOF2,70
5034,HgRhO3,95
5035,TaBeTc,55
5036,RbInO3,60
5037,Ca3Mg,80
5038,KMg(PO3)3,50
5039,Nd3PbN,80
5040,KAg3Se2,60
5041,Li8VO5F,45
5042,BaHf2Ru,80
5043,Rb2AuI,55
5044,TaAuBr,100
5045,Ca2ZnN2,50
5046,TaRu3,105
5047,CuAuSe4,65
5048,BiOF,50
5049,UGePt,55
5050,MnAlAu2,55
5051,K2TeI6,55
5052,Na2GeO3,50
5053,YbPd2Au,125
5054,KSn2Br5,55
5055,TlPdF3,85
5056,YBeZn2,105
5057,MnSiRu2,65
5058,TaH2,90
5059,TbCdRh2,75
5060,TbAgSn,65
5061,Te6RhCl3,65
5062,SmF3,50
5063,BaNa2Pb,95
5064,Ba2ZrO4,50
5065,ZrP,85
5066,Dy2CdS4,65
5067,Y2BeCo,90
5068,BeNb2Tl,75
5069,Sc2ZnS4,60
5070,Tm2CoIr,75
5071,Mg4BeTe,125
5072,BeCu2Br,60
5073,TiFe2Sn,60
5074,KTmO2,50
5075,LiTaOs2,55
5076,ZrGa2,90
5077,Ca2AgRh,90
5078,CeInAg2,65
5079,CdS,55
5080,Li2Mn3VO8,50
5081,Ce(SiOs)2,55
5082,Ba4TaCd,95
5083,ThNiSn,60
5084,LaZnAu2,105
5085,BaZr(PO4)2,50
5086,Li2CrPCO7,55
5087,LuVO4,45
5088,Te2MoWS2,65
5089,RbNbO3,50
5090,PrC2,75
5091,Li3Tc,85
5092,BeSn2Br,140
5093,LuZnPd2,80
5094,PuS,45
5095,BeZnCr,65
5096,Li5CuF6,45
5097,TbCoGe,80
5098,TiTeOs,55
5099,Sc2AgAu,100
5100,LuSF,50
5101,Mg2H6Os,45
5102,CaCdAu,140
5103,Li2Si,75
5104,Na2LiBe,100
5105,PH4Br,50
5106,Te8MoW3,60
5107,Ho6WO2,50
5108,Ba2YTi2TlO7,70
5109,LiCo2CuO6,55
5110,Cr2CdSe4,70
5111,BeCuPb2,145
5112,SrSnO3,50
5113,Nd2PbSe4,55
5114,AsRuBr,70
5115,Rb3(Cu4Se3)2,70
5116,NbV3,50
5117,YbCd3,70
5118,Er2O3,45
5119,Yb4Br6O,55
5120,PaFe3,95
5121,Hf(SiNi)2,95
5122,RbP(HO2)2,50
5123,Mg4BeV,90
5124,Be2InPt,90
5125,Li2BeBi,90
5126,Tm2OsPd,75
5127,Mn(CuCl2)2,50
5128,Li2HoTl,95
5129,YTlO2,50
5130,K2LiBO3,45
5131,BaNi2Br,80
5132,ZnFeF6,50
5133,TeMoWS3,65
5134,DyVB4,70
5135,Mg3Ru2,85
5136,Ba6Ru2Pt(ClO)2,55
5137,LuAs,110
5138,BeI2,50
5139,Li3Ge,110
5140,UP3,75
5141,KBe2W,95
5142,HfBeBi4,120
5143,Sr(YS2)2,55
5144,Rb2SnO3,55
5145,Tm2O3,45
5146,Ti3AlSe2ClO8,50
5147,YBe2Cd,95
5148,HoCuP2,105
5149,KS,55
5150,YbInCu4,80
5151,Na2Mn2Se3,60
5152,Mn2Be2Zn,85
5153,ErCoO3,55
5154,TmGeRu,75
5155,Zr4Pd2O,65
5156,Ba4PdRh,75
5157,Li2HoIn,95
5158,IBr,75
5159,K2SiAs2,60
5160,NdAsPd,90
5161,BaH4O3,50
5162,TeAsRu,60
5163,Ba3Cu2(ClO2)2,60
5164,Ca3AsN,65
5165,Dy3Co6Sn5,95
5166,NaLiO3,65
5167,LiDy2Os,80
5168,BeVRh,80
5169,NdLuIn2,110
5170,PaSi3,120
5171,Pr2AlCo2,70
5172,BaHBr,50
5173,Pm2ZnSn,90
5174,Ba4YGa,80
5175,Er2NiOs,75
5176,Ba4InBi,90
5177,Sc2Cu2O5,50
5178,ErCd2,95
5179,TiBe2Cd,90
5180,Pm2ZnAg,90
5181,Ba2YF7,45
5182,Bi(PdO2)2,85
5183,NiHg,70
5184,KH4O2F,45
5185,VCrO3,55
5186,Dy3Sb4Au3,65
5187,CeSnAu,85
5188,LiMgIn2,70
5189,CdF2,45
5190,KH8N3,45
5191,Pt3Pb,70
5192,CoSO4,50
5193,LiGaAu2,115
5194,Y2ZnPt,100
5195,BaNaSb,60
5196,Li2ZnPd,80
5197,InAuO2,55
5198,Li2BeGe,150
5199,LaPd3,150
5200,SmFeSi,65
5201,Pr5(RuO)2,60
5202,HoCdPt2,105
5203,BeNi2Mo,80
5204,CaBe2Se,95
5205,Dy2SO2,55
5206,AgBrO4,45
5207,WSe2,55
5208,BeB2,95
5209,SrFeAsF,60
5210,MoAs2,75
5211,SrLiNb2O6F,55
5212,Th(NiGe)2,75
5213,BeSiCl,105
5214,CuMo2As,80
5215,Ba2Ho(CuO2)3,105
5216,Li2MnSiO5,55
5217,CaCrO4,45
5218,AuClO,50
5219,Ba4PtBr,95
5220,Li2CuSnO4,50
5221,K2B2Se7,55
5222,BaMgHg2,100
5223,Be2TlSe,70
5224,NbCl3O,55
5225,Ca(CdP)2,65
5226,CaBeHg2,105
5227,LiCoS2,55
5228,Sc3InB,70
5229,CrCdF6,45
5230,Li5Mn3Nb2,50
5231,BaGaBr2,95
5232,Th3B,110
5233,NaYbF4,55
5234,MgAlSi,140
5235,NbNiP2,95
5236,ZrB,70
5237,CdN,95
5238,Li2BeSe,65
5239,Na3MnSiBO7,55
5240,RbTmO2,50
5241,Li2CeSb2,65
5242,LuGe2,80
5243,U3P4,60
5244,BaH4(BrO)2,50
5245,Ti3N2O3,80
5246,ReTe,75
5247,TiSi2,105
5248,Li2NbOF5,45
5249,LaMgHg2,100
5250,CaSbF6,50
5251,SrCaSi,70
5252,Zr7(NO2)4,50
5253,Cd(FeO2)2,50
5254,LiCoGeO4,55
5255,V2CrMo,85
5256,LiMnAs,60
5257,CaAg,105
5258,Ge3N4,55
5259,YbSbPd2,70
5260,LiCa6Ge,80
5261,ErTaO4,45
5262,ScCu3,80
5263,ThTi2O6,50
5264,Be2CdPd,95
5265,NdVO4,45
5266,BePbCl2,90
5267,Ba4GeBi,95
5268,Sr2BeCo,70
5269,LiV2O3F,60
5270,VO2,65
5271,SrBeBr2,50
5272,VP,70
5273,Mg(MnS2)2,50
5274,Si3N4,50
5275,RbC,50
5276,YAg2,95
5277,Sr2Li2Nb4O3,50
5278,Li3MnF6,45
5279,BeGa4Se,110
5280,Li2MgAu,65
5281,InCu,85
5282,Mn2As,60
5283,Li6VCrP2(CO2)2,50
5284,SrCaBe,85
5285,Pr(SbOs2)2,75
5286,LiNd2Ir,100
5287,BaAlCoCuO5,120
5288,MgSn(BO3)2,45
5289,Ce(CuSb)2,70
5290,LiRuO2,100
5291,CF2,40
5292,BeTc2Os,85
5293,Fe5Co,55
5294,LiZnPO4,50
5295,Be2SnSb,140
5296,Li6I3N,50
5297,Be2GeW,80
5298,LiMnSe2,50
5299,Nd5CuSe8,55
5300,Ba4MgIr,75
5301,PH6(NO)2,45
5302,Ba(MgSi)2,90
5303,ZnSi2NiO6,55
5304,CrOF3,45
5305,Ba2NbCl,90
5306,ReSnAs,105
5307,Mn2V2O7,50
5308,Ba4SiGe,95
5309,LiPt3,110
5310,Tm2AgPt,80
5311,ZnCu(GeO3)2,50
5312,K(BH)6,50
5313,Dy2V2O7,50
5314,PrPt2,75
5315,PrAl4,80
5316,NiGe3,95
5317,TlInSe2,55
5318,NaTaO3,60
5319,PmNi3,100
5320,LiLuF4,45
5321,Y2GaHg,90
5322,ScBeCr2,85
5323,KPuO3,65
5324,Ba2SbAu,85
5325,YbRh,85
5326,Y7FeI2,65
5327,BeTe2Pd,150
5328,SrHfN2,55
5329,Be2ZnIn,115
5330,MnF3,45
5331,BaNpO3,60
5332,MgBe2V,65
5333,Ba4MnCo,70
5334,LuTlS2,55
5335,HfZn2,105
5336,Ho5Si3,95
5337,TiFeH2,85
5338,Li8SiO6,50
5339,Li2CaSn,60
5340,Mn2BeTc,65
5341,YPbAu,70
5342,Sc2BeTe,85
5343,AsPtAu,90
5344,CaCO3,45
5345,Na3In2P3O2,45
5346,BaBiSe4,95
5347,Li5TiV3O8,60
5348,BaYCrCuO5,120
5349,La2BeZn,70
5350,AlV2C,95
5351,Ba2SbI,65
5352,SeS,100
5353,CaBeGa2,110
5354,NbCl2O,55
5355,Fe3O4,80
5356,K4BeP,75
5357,AlCuCl4,45
5358,K2VCuS4,50
5359,MgV3O7,50
5360,K2Co(H2Se)2,60
5361,BeHgBr,90
5362,Y(NiGe)2,75
5363,SrClF,45
5364,YBe2Sb,65
5365,Mg3BH2O5F,50
5366,MgBeGa4,165
5367,In2IrRh,80
5368,HfBe,65
5369,TiInCu2,65
5370,Sm2TeO6,50
5371,BeTc2Ni,95
5372,TeF6,50
5373,DyMgTl2,115
5374,Be(VPd)2,70
5375,MgScHg2,85
5376,Ho(CuSi)2,95
5377,Na3Rh(N3O)2,50
5378,Tm2Al3Si2,70
5379,Na2ZnSe2,55
5380,LuRhO3,85
5381,Ca(SbO2)4,60
5382,ScGaPd2,70
5383,MgFePO5,60
5384,K4I2O,45
5385,SrScBe,65
5386,LiFe6O7F5,45
5387,Pr(FeGe)2,60
5388,AcMgTl2,120
5389,K2SnBr6,55
5390,Nb4FeSi,105
5391,MgAl2O4,50
5392,Ba4SbOs,110
5393,YHoRu2,85
5394,BH9(CO)3,50
5395,NpGaRh2,65
5396,Ba2InHg,85
5397,BaZrTe2,95
5398,YbS,50
5399,Be2PtCl,70
5400,BaIr2Pd,75
5401,PrAg2,120
5402,NaPrO2,50
5403,Rb2Sn2O3,50
5404,ErPd3,105
5405,K2MnSe2,55
5406,Ti3V2O9,50
5407,Sm3Zr,90
5408,Ag3BO3,55
5409,PrSiO4,55
5410,Ba3BPO7,55
5411,TaAlO4,50
5412,NaH,50
5413,AsPW2,100
5414,Sm3Ag,95
5415,ScNi2,60
5416,PrMgPt,95
5417,Mo3W(SeS)4,55
5418,Tm6CoBi2,65
5419,NaB(H4N)2,45
5420,TlCdS2,90
5421,CeSi2Mo2C,95
5422,Sr2Ge2Se5,50
5423,Ni3Pb,65
5424,TiAsSe,70
5425,NaBe2Cu,140
5426,BOsO3,110
5427,Er5Sn3,95
5428,KNa2BO3,50
5429,SnCl4O5,50
5430,LiSmGe,100
5431,BeFeOs2,95
5432,K3VO4,45
5433,GeTe7As4,95
5434,Sb3O7F,90
5435,NdMgNi4,100
5436,U3Ge,65
5437,Li6Fe(O2F)2,50
5438,DyBC,110
5439,BaSe3,80
5440,Sn2OF2,50
5441,Sr(CuSb)2,95
5442,TlCuIr,70
5443,Cu3(MoH)2,45
5444,KBeTe2,130
5445,Sm(SiIr)2,95
5446,NaHfBe2,95
5447,MnBe2Te,75
5448,TbInNi,105
5449,HgBiPb2,85
5450,UCuAs2,75
5451,V4SiSb2,70
5452,Li2WS4,50
5453,Sr5As3O2F,50
5454,Y3Al3NiGe2,105
5455,TiBe2V,45
5456,Na3FeBAsO7,55
5457,Sc2GaCu,60
5458,Li2Ti3V3O2,55
5459,Be2CoBr,65
5460,ScBeIn,45
5461,Be2MoPd,110
5462,LiBeTe2,150
5463,ThAu2,105
5464,NaLi3(H2N)4,45
5465,Sr(GaTe2)2,55
5466,LiCaSb,65
5467,MnNb2As,70
5468,NaYbSe2,90
5469,Tm(GeRu)2,60
5470,Be2NiMo,65
5471,CaAsAu,95
5472,HoB2Os,65
5473,Pm2AgSn,85
5474,NbVO5,50
5475,BeV2Cd,55
5476,ZnPd5Se,75
5477,LaH2,70
5478,BaCN2,45
5479,KIO3,55
5480,NaCdPb2,85
5481,Li2ZnCl4,55
5482,Pr3MnBi5,140
5483,Nd(AsPd)2,110
5484,NiS2,70
5485,Sc(Fe2P)2,90
5486,Na4SnSe4,60
5487,XeF2,45
5488,Rb2HgO2,45
5489,U4S3,70
5490,DyGa3,120
5491,Yb2MnS4,80
5492,Pm2ZnSi,95
5493,LiCr(CoO3)2,80
5494,In2HgTe4,65
5495,BC2N,50
5496,Ni(AsO3)2,50
5497,Ba4HfIn,105
5498,Li2V2F7,45
5499,KPrS2,50
5500,Na6SbO5,65
5501,HfGaPt,100
5502,Be2CdBi,130
5503,V3Ge,80
5504,Ba2H3I,55
5505,Ca3SiO5,50
5506,Zn2As2O7,50
5507,Mn2CoIr,95
5508,Ho7Co6Sn23,100
5509,LaBe2V,50
5510,ZnSiNiO5,55
5511,LiY2Ag,75
5512,Ca(AuO2)2,45
5513,Te2Mo(WSe2)2,60
5514,Zr2BeW,90
5515,LiCdAs,85
5516,Ba3Nb2O8,45
5517,Al2Te3,65
5518,RbSrCl3,55
5519,BCl,50
5520,DySe2,110
5521,KSrVO4,50
5522,BeTcSn,100
5523,AlTlF4,45
5524,BeCuTc,80
5525,KAuN2,50
5526,Ba4CoTc,75
5527,InTc3,60
5528,CeZr7O6,50
5529,Ba4TaRu,75
5530,Dy5Pb3,75
5531,TbVO3,60
5532,YCuP2,110
5533,TiRh,75
5534,TcPt3,65
5535,Ba4HfTi,75
5536,Cr3GaN,70
5537,TlSbS2,60
5538,Mg3(Ni10P3)2,95
5539,YbCoC2,80
5540,PmHo,75
5541,Ca2ScBe,95
5542,TbAlCu2,75
5543,CaAl4,105
5544,PaTlO3,50
5545,TbFeSi,85
5546,BaSi2Ir,100
5547,BeIr4Pt,85
5548,Ba3SbAs,65
5549,Ba4CdSn,85
5550,BaLaTi4,60
5551,Ba2CoBr,65
5552,Sc2Ni2Sn,110
5553,IrOsW,70
5554,YbCo3B2,70
5555,Ba4FeCu,70
5556,CeSe,80
5557,SrBeV2,80
5558,Ba4ScBi,80
5559,Na2CuAs,65
5560,PaCu2Sn,70
5561,Te2Rh,95
5562,BaNiP2,85
5563,CS2NClO2,45
5564,MnNbAs,75
5565,ZrBeTl,80
5566,Mn(InS2)2,60
5567,NaAgF4,45
5568,CoTeMoO6,50
5569,Sb2TeSe2,65
5570,NdAgAu2,105
5571,Tb(FeGe)2,85
5572,Na3Co,75
5573,Cd(CO2)2,45
5574,CaTiF6,45
5575,ThNF,50
5576,HoAlAu2,65
5577,BeTl2Ir,100
5578,CdSnPd2,100
5579,LiSbWO6,55
5580,HfBeTc,55
5581,YSiRu,80
5582,YBe2W,75
5583,BaTbMn2O6,65
5584,NiPb,70
5585,LiBeSe2,115
5586,Tl2HgTe,75
5587,BaSc2Cu,70
5588,Be2RhCl,50
5589,BaVBr2,70
5590,Sm3Mg,60
5591,YMnBe2,65
5592,LiV2(OF)3,50
5593,MnCo,90
5594,Cd2As2O7,50
5595,K2PdF4,45
5596,HoLuRh2,105
5597,Ba4CdSi,85
5598,MgBe2B,95
5599,Tl(CuSe)2,95
5600,Mg2CdPb,90
5601,LiGa5O8,55
5602,SbPbClO2,55
5603,Ba6Hf5S6,65
5604,Nd(SiRh)2,75
5605,Ba2GaHg,120
5606,TaBe2Re,70
5607,NbGaFe2,55
5608,BMo2,65
5609,Li2MnSn(PO4)2,50
5610,CoSi2,90
5611,H4CSN2,45
5612,MnNi3O4,55
5613,NaNiO2,55
5614,Ac2SiPd,95
5615,K2NaVOF5,45
5616,MnV(PO)4,50
5617,V3Mo,90
5618,BaNbBr2,100
5619,Rb3Tc,60
5620,DyAl3,105
5621,LiTi2Be,85
5622,YAgHg2,80
5623,MnCo3O8,55
5624,V3(OF3)2,50
5625,Be2Ni2Ge,65
5626,PuBrO,55
5627,Ba4SnPd,90
5628,K2CuF4,70
5629,TiAsRu2,65
5630,V4O7F5,55
5631,Li3Ga,95
5632,VZn2O4,75
5633,Cr4OF,60
5634,Ca3(GaN2)2,60
5635,Ba6ZrO8,50
5636,DyMgAg2,105
5637,ZnFeRh2,100
5638,Li2V3F8,55
5639,NbSiAs,105
5640,LiPd2Pb,85
5641,SmSi2Rh3,115
5642,LaB2Ir2C,95
5643,Ba2TlCd,115
5644,K3YF6,45
5645,Ba2BrN,50
5646,ZnTcMo,70
5647,Rb2Fe4O7,65
5648,Ho2MnOs,60
5649,BaBePO4F,45
5650,FeP,60
5651,Ba4CoSn,105
5652,YPt3C,90
5653,Sr3LiTa4(OF)2,60
5654,PaPbAu2,90
5655,Ba3TiS5,50
5656,P4S7,50
5657,CeZnSbO,70
5658,Na3In,95
5659,ScAgO3,60
5660,DySb,60
5661,TbGaPt,125
5662,Rb4YbI6,65
5663,CdBiO3,50
