,pretty_comp,n_Seebeck
3231,AlF3,-140.50953
3232,Ba2BrN,-222.25729
3233,Ac2CuGe,-37.519039
3234,TlAs,-69.591298
3235,BaYAgTe3,-156.5719867
3236,BaZnGe,-20.8860109
3237,K4Re2O,0.092027333
3238,ZnPtF6,-412.34856
3239,Pd(SeBr3)2,-313.7278933
3240,YTiGe,-25.570676
3241,SmMgHg2,-3.4130508
3242,Sr2CaMoO6,-339.43536
3243,CaGaSnH,-219.4785067
3244,NaSmSe2,-239.1023367
3245,Ca2SnHg,-58.087359
3246,MnAu4,-2.306951767
3247,Tm2Sb2O7,-151.56375669999997
3248,ScRh3,-7.050190400000001
3249,SrPSe3,-336.6421833
3250,Sr3(AlP2)2,-229.8704
3251,YbPmPt2,-7.7581522
3252,ScTaRu2,-37.898916
3253,Ca2Mn3O8,-318.70267
3254,Tb2Fe2Si2C,-8.4772919
3255,FeGe2,5.113414567
3256,CaYHg2,-2.3833658
3257,BCl(OF2)2,-386.0556
3258,CrP,-15.29576667
3259,SiPd,-1.3848968330000002
3260,NiH,-12.33381
3261,AsRu,-0.325430533
3262,DyS2,7.591412587000001
3263,MnB2,-2.276098433
3264,Hf2Ag,9.431823533
3265,YNiBi,-232.83758
3266,Al2VCl8,-353.09312
3267,TmPO4,-326.6952967
3268,Be2Mo,-0.452820873
3269,S(IN)2,-316.7810467
3270,SmHoIn2,-7.1855017000000005
3271,Ba2HoRuO6,-86.37691233
3272,BaScIr,-13.0808
3273,TmPd,-0.47739516
3274,RbPrSe2,-243.0493367
3275,PrBi2ClO4,-86.830105
3276,YbMg3,-1.4097429730000002
3277,K2Sn2O3,-185.2809767
3278,NbPd2,-2.2282291030000003
3279,RbLiO,-115.0575333
3280,KPrO2,-269.6081667
3281,MnZnF4,-69.13659433
3282,Re3Se4Cl,-282.8456767
3283,Hg3Pd,-2.5713607000000005
3284,Sc3TlC,-18.640736
3285,K3AlH6,-218.1468367
3286,TlCu3S2,-250.2428767
3287,SrHf2Mo,-7.77498
3288,ZrN,-7.4086141
3289,P4Se5,-319.8614267
3290,ScTlRh2,-30.599572
3291,Ga2HgTe4,-108.9555733
3292,KSO2F,-352.1650133
3293,ScAgSe2,-275.3733233
3294,CaSi,-10.61402567
3295,Li3Nb3TeO2,-178.4754367
3296,DySbPt,-67.21470500000001
3297,Pb(ClO3)2,-396.65309
3298,AuN2,-0.14369689
3299,Th2Fe2Si2C,-17.46439963
3300,Zn(CoO2)2,-44.42468667
3301,NaFeS2,-29.57514947
3302,Cs2NaInF6,-147.92685
3303,Ni3OF5,8.236362
3304,Sc(Al2Fe)4,6.91575941
3305,LiTiCoO4,-29.49797267
3306,MgRh,4.2186933
3307,Tb3Al,-3.2897302
3308,PrBiPd2,-0.780363127
3309,Mg2Co2P7,-41.199767
3310,BaSrO2,-217.9425767
3311,Li3Zn,-4.2947834
3312,TiMo,-7.153324667000001
3313,Sc2CoSi2,-9.4476095
3314,Ba3Ga2(GeO)4,-101.409573
3315,ZnOsO3,6.4228194000000025
3316,B3Ru2,3.541582033
3317,B6P,-211.0801867
3318,NbNiB,8.143163667
3319,NdGe,-7.607272442999999
3320,Cu(IO3)2,-249.3487633
3321,Ba2AsAu,-179.74673
3322,KCaNb2O6F,-254.76126
3323,LaSb,1.0177889999999998
3324,Na3VH6O7,-434.3016633
3325,Nb3N5,-167.7464333
3326,ZnC2(SN)2,-302.82009
3327,KTlO,-156.9890933
3328,TiSe2,0.549895667
3329,PrRhC2,-17.548270000000002
3330,Ti3H2O7,-401.5139833
3331,Na2Zn3Se4,-47.07841033
3332,Zr2CoSi2,-1.510961333
3333,Ca2Si,-215.55027
3334,Yb2Ge,-112.07140929999998
3335,ThH2,-10.448967
3336,U2Co2Sn,-5.331828667
3337,Mg2In,-3.643414367
3338,FeH4Br3N,-16.016
3339,KTiS2,-24.82151607
3340,CaCr2F2,-34.295112
3341,Cr3S4,0.474780933
3342,YGa,-17.082566
3343,MnCoS,-3.175255
3344,UO,-15.63469133
3345,Ti2CuS4,-19.544032
3346,Sr4As2O,-101.0363547
3347,NaB(SO4)2,-119.15484
3348,Ba(TlHg)2,3.325380527
3349,MnGeRu2,-3.012025
3350,Li5Cu3Sb2,2.060201333
3351,NaTeH6O6F,-174.43582
3352,KHfCuS3,-239.7725333
3353,PrFeSi,8.0802108
3354,LiCuPO4,-11.43805767
3355,Rb2InGaF6,-268.73214
3356,AsS2NF6,-427.55271330000005
3357,HfPd3,-21.135985
3358,Ho4NiB4,-21.89006847
3359,AcMgHg2,-6.6346798
3360,K2ReBr6,-305.21983
3361,P3BrCl4,-229.1787333
3362,Ba4LiCuC2,-330.72615
3363,KPH2SO3,-111.97524
3364,TiCl3,-39.864023
3365,AgNO2,-348.8194133
3366,Ba2Pb,-129.666628
3367,LiTl,-2.7481868
3368,TmLuMg2,-5.9537892
3369,K4P2PdS8,-297.31141
3370,K6Na3AlSb4,-93.51389367
3371,HfBrN,-140.80462
3372,Ag3PSe4,-60.28690533
3373,MoS2,-17.97238833
3374,Ba2ZnAg2(SeO)2,-106.9722237
3375,NbFeB,5.042913467
3376,Ba3Sn5,-17.75234267
3377,TiPt,7.7137621
3378,AgHgO2,5.309878967
3379,MnZnSiO5,-404.4598167
3380,Sr2H6Ru,-252.18388
3381,AgHg2PO4,-109.4161183
3382,Sc2C3,-36.47112667
3383,Ca3Co2Ge3O2,-434.79535
3384,KClO3,-331.1008533000001
3385,ThRe2,-1.842864767
3386,Ca(GeRu)2,-24.07307233
3387,NaNO2,-394.73707
3388,ZrSiTe,-28.29835
3389,SiS2,-211.21563
3390,HfAu2,-11.36892578
3391,TaPt3,0.0583916
3392,NaPrSe2,-236.0057733
3393,SbS2,-0.77982663
3394,Li3Mn2Cr2O8,-34.96043333
3395,TlAsPt5,1.929048
3396,DyYTl2,-2.0742093999999995
3397,Ca2SiO4,-120.5835267
3398,Li5ReO6,-340.9476933
3399,Na3SbO4,-112.5474267
3400,Fe3(SnS4)2,-2.991995
3401,RbNd2CuS4,-180.8828133
3402,Yb2AgIr,-70.426043
3403,LiDyAu2,-6.3608846
3404,CaZnSiH2O5,-149.2074233
3405,ZrAlNi2,-0.494051953
3406,PrCrSe3,-72.44469633
3407,ZrB2,-28.91095767
3408,FeBiAsO,-5.045219333
3409,Ba2YTaO6,-290.60851
3410,MgH2SeO5,-148.8660633
3411,BiSI,-222.1555633
3412,Zr2CoTc,-4.0608774
3413,Li2AgSn,2.155358267
3414,Sm(GePd)2,-9.568580067000001
3415,TbCu,9.7880906
3416,TaBO4,-448.16649
3417,NbIr,1.388047747
3418,B2W,3.075296467
3419,Cr3Os,-1.6163796
3420,Sr4Bi3,-13.241792000000002
3421,HoSe2,-11.59842636
3422,DyCuS2,-301.7687867
3423,YH3,-26.38522767
3424,Tl3PS4,-242.40716
3425,LiSmAu2,-3.4891053
3426,Rb2TaAgS4,-330.4011
3427,CdGeO3,-69.407928
3428,DyTlTe2,-286.68894
3429,LuBPd3,-8.401864400000001
3430,Li4MnW3O2,-196.5081033
3431,Sb3Pb,-0.736293833
3432,LuCl3,-189.43708
3433,TaI2O,-198.70344330000003
3434,Nd3Hg,-2.034890133
3435,LuBi2IO4,-70.39641533
3436,SrPd,-33.579346
3437,CaPb3,-66.748408
3438,NaSbO2,-122.0805233
3439,TaGaNi2,4.416163567
3440,Fe2As,4.168728233
3441,Ti2O3,-18.47461753
3442,SrBiIO2,-166.9941467
3443,ZrFeCl6,-28.514422
3444,SrO2,-380.8084833
3445,K5CuSb2,-101.4327403
3446,K2GeF6,-153.71697
3447,RuPbO3,0.15238698
3448,V2AsC,-7.653799833
3449,GaCuTe2,-137.04031669999998
3450,KMgP,-102.4199183
3451,Nd(Al2Cu)4,3.294409047
3452,AlFe2,-10.247479
3453,TmCuPbSe3,-250.9900067
3454,MoP4,-26.295066
3455,DyNiBi,-237.513
3456,V3Se4,-4.182327123
3457,BaNiO3,-390.4722267
3458,Tb2Mn2O7,-241.12767
3459,TlSnF7,-116.75302
3460,TaNO,-299.6469333
3461,LaVCrO6,1.135455977
3462,NaNb(CuS2)2,-316.9341933
3463,BeB2,2.654875387
3464,HfC,-15.20941033
3465,Tm2In,-5.536637363
3466,NpSb3,-21.67450267
3467,BaCaV4O8,-15.582008300000002
3468,Co2CuO4,-17.777260000000005
3469,BPS4,-265.05258
3470,Y(FeB)2,-5.980289483
3471,BaO,-239.3177067
3472,NiMoP2,-5.0466062
3473,Sm(MnAl2)4,-16.36594467
3474,Tl3Br,-7.036241567
3475,LiYb2Ir,-80.718765
3476,Nd3GaC,-17.356682
3477,CaHCl,-164.2319167
3478,GaAs2W,0.035815533
3479,YAl3Ni,-14.2065329
3480,Ti3InN,-2.8795584
3481,CuO2,7.875015833
3482,KMn4O8,-19.76463967
3483,TcIr3,5.855907932999999
3484,InN,-42.77151
3485,NdGeBO5,-110.6575633
3486,Ba(ZnP)2,-23.30661167
3487,Zr2Cu,-11.96739327
3488,KBi(PS3)2,-370.5218933
3489,Sr3Fe2Cl2O5,-9.313581067000001
3490,K2Zn(SiO3)2,-98.73878633
3491,Rb2Mg,-9.723683967000001
3492,Y2Cl3,-316.34354
3493,ThInAg2,2.290279267
3494,CaAl2,9.068498167000001
3495,KPrSiSe4,-235.9010133
3496,DyAgGe,0.416840233
3497,NdDyMg2,3.377879
3498,ScAlIr2,-34.03139
3499,Sm2SeO2,-195.4396167
3500,YbSnPd2,1.3692844
3501,BaH5BrO3,-161.94204330000005
3502,LiGeIr2,6.5057989
3503,Ca2TaAgO6,-287.4986600000001
3504,Sr3P6(N4O3)2,-250.5002233
3505,LiGaPd2,-18.189697
3506,S(IO3)2,-257.30994669999995
3507,ZrTi2O,2.044038333
3508,Y4C7,-56.63469
3509,MnIr,-0.48359477
3510,Mn3OF6,-28.49054267
3511,SrCuF4,-323.6194367
3512,Sr3TaGa3(SiO2)2,-156.57721
3513,Li3CoO3,-1.494796
3514,K2SiP2,-238.2437367
3515,CuTcBi,-36.781092
3516,C3N4,-300.0394933
3517,CoSn2,5.9950328
3518,Sn2Pt,-3.664096467
3519,Si2Ni6B,-3.0759211
3520,Rb2TlInCl6,-199.99514
3521,Re3Ge,-7.591083867
3522,DySi2,-20.19665133
3523,Ti2CoGe,-25.517986
3524,Ca3(AlGe)2,6.404993
3525,Sc2GaAg,9.507521699999998
3526,K2TiO3,-305.65461
3527,Ag3AsS3,-230.7554233
3528,Mg3B(OF)3,-134.55316330000002
3529,CaCu3(Ge2O)2,-395.91994
3530,KCeSe4,-34.79833309
3531,Cr4CuO2,-52.08835333
3532,NaSmTl2,-4.8966363
3533,K2MgH4,-224.90661
3534,Rb3Hf,4.540546933
3535,ZnCu2SnS4,-97.11132967
3536,CrCu2Si,-5.9971092000000015
3537,Ti2Pd,8.363848299999999
3538,SrCN2,-151.57281669999998
3539,Na8TiAs4,-360.33405
3540,CrFe2Sb,-44.463894
3541,LiPmZn2,6.9434716
3542,Hf2Cu,-10.24518137
3543,BaMn4O8,-58.94679467
3544,Cd(GaTe2)2,-153.45003
3545,RbSO4F,-402.2691367
3546,Ti2Cd,-3.028355667
3547,Rb2U3(IO5)4,-419.45383
3548,NaLi2Bi,-146.81342
3549,GePbS3,-205.19168
3550,Nb3O7F,-226.6170467
3551,TbCo5,8.505325333
3552,Lu3Sn,-10.90452447
3553,Rb2TiCl6,-408.64696
3554,CeNi5,1.8983641
3555,MnCrF5,-283.03447
3556,SmTmRu2,-4.5051084
3557,CeRh2,7.1955106
3558,KrF2,-360.7840667
3559,YCuP2,-11.443847
3560,Na2Ni2O3,-11.4696774
3561,TmAlO3,-364.4626567
3562,LiZnP,-186.15216
3563,Ca3ScCoO6,-479.52879
3564,ErN,-6.846601
3565,RbPbF3,-239.54712
3566,LiTbO2,-284.4879567
3567,KTeHOF4,-247.94758
3568,Li6PS5Cl,-113.16651
3569,Sm3Hf,-7.1786288
3570,SiAs2,-183.94679
3571,K3TaS4,-270.5748433
3572,HoNi2B2C,-35.563626
3573,AlGaN2,-80.00911433
3574,Hf2Al,-7.364432933
3575,K2Li3GaO4,-120.4204533
3576,TeRuPb,-12.235271
3577,ZrMo3,2.8477978
3578,Na2VBPO7,-127.804594
3579,MnTcPd,0.025985505
3580,YbFe2,5.887118133
3581,Na3Sr3GaP4,-91.55241833
3582,ZrCd2H2(O3F4)2,-109.0944003
3583,Ta3SeI7,-239.0088667
3584,HoInAg2,2.780323833
3585,RbAuF4,-388.29385
3586,Hf3N2O3,-308.80415
3587,U(CuSi)2,4.4654766
3588,Li2CoCuO4,2.8410291
3589,YAlSi,9.259729667
3590,HoTmTl2,-1.5994329
3591,Y2Fe2Si2C,-4.150271267
3592,Li(CoGe)6,0.031303367
3593,Yb(SiAu)2,-2.047044667
3594,LiSbPHO5,-237.0961867
3595,Tb3(MnC3)2,-6.746310833
3596,DyBiPt,-82.11544667
3597,LiZnAg2,-1.7996255
3598,DyScSb,-8.929008433
3599,NdIr2,-4.5939709
3600,MgZrO3,-83.666213
3601,PrCo2B2C,6.442273
3602,TmNi,-2.519669767
3603,MnZn(SiO3)2,-101.0692633
3604,Sm2InHg,-9.2103242
3605,LiPd2Pb,-6.469670933
3606,HgOsO3,3.1623618
3607,SiSn,-142.82838
3608,LiTlO2,-99.78253733
3609,Co3Ni,-10.482988
3610,SmCuPb,-34.061639
3611,BaYF5,-134.21654669999998
3612,Ca2AgSbO6,-271.02196000000004
3613,Rb2VAgSe4,-378.46838
3614,NbVO5,-270.78413
3615,Li2AgF5,-92.23388
3616,KHS,-110.92598999999998
3617,Cr3CdTe4,-3.0165464
3618,PrSnAu,-37.488836
3619,LuCoC,8.067365667
3620,HoAu2,-0.98601919
3621,Ni3I,-4.541364
3622,AuCN,-162.84295
3623,AgSb2F2,-255.3678167
3624,Lu2ZnIn,-1.2473665
3625,CoN,-7.300165732999999
3626,DyInCu2,2.507007767
3627,CuAs4S3Cl,-175.53776330000005
3628,ErSeI,-300.3762433
3629,MnBO3,6.438822
3630,PtS,-221.1153833
3631,KAu(I2O)2,-348.0554967
3632,MgSi2SnO6,-242.2013067
3633,DyNiSn,6.438246232999999
3634,CdPtF6,-398.3691
3635,SrZnPb,-37.40432233
3636,MgH2,-28.844882
3637,Nd3GaO6,-131.6274933
3638,ErIn5Co,-3.587346333
3639,NaAc2Pb,-18.488963
3640,MnCo2Sb,9.680694767
3641,Zn2CuN2,2.34791
3642,TaCo,-4.7135378
3643,Pr(Fe2P)2,9.180455767
3644,Li(TiS2)3,-12.147298
3645,Na3SbSe4,-140.49783
3646,Ba4ZrO6,-387.26049
3647,Cs2SnI6,-72.194939
3648,Tm2TlHg,0.9265582
3649,Re2AuSe,-37.657506
3650,NaCu3F7,1.1040911
3651,K2HgO2,-361.43853
3652,Bi4O3F7,-9.546416833
3653,Rb3Ru,-48.894503
3654,Er2Si3Rh,5.350202263
3655,MnFe2Si,-9.475485367000001
3656,Ba3Ge2(BO)6,-170.7017467
3657,PtC,-4.245800900000001
3658,ThS,-5.742390932999999
3659,MgAlIr2,4.3676479000000015
3660,H8PtN2(ClO)2,-304.91883
3661,SmAsO4,-134.70480669999998
3662,Tm2ZnRu,-1.550109867
3663,Zr2OsRu,-12.718546
3664,Na2VPCO7,-4.789807667
3665,Hf2CuGe4,7.814825533
3666,LiGe2N3,-93.119057
3667,YbTmPt2,-9.0748799
3668,B2(CN2)3,-210.6726867
3669,YNbO4,-394.1316733
3670,NbNiP2,-3.361313733
3671,DyAlAg2,3.8328078
3672,HoErPd2,1.0234153
3673,RbLiS,-105.90664
3674,C3N,0.253012433
3675,UPbO4,-458.9987033
3676,MgTi(SiO3)2,-25.31932833
3677,ZnCl2,-126.7351733
3678,Cu2Te,-13.2906147
3679,Sb7Mo3,7.756277967000001
3680,Mg3Br,-10.25705887
3681,Tm2TlAg,7.9273929
3682,CrCo,-1.6911231
3683,CuB(CN)4,-479.24706
3684,H4NClO,-246.6289967
3685,TbInCo2,5.03341
3686,SmTmMg2,-3.3818939
3687,NdCl3,-251.53947
3688,CoHgC4(SeN)4,-359.31059
3689,Lu2AgRu,-1.8620836
3690,MnGeO3,-57.23456467
3691,Li2CeP2,-524.47565
3692,Fe2SiO4,-15.072839000000002
3693,Ba2NdNbO6,-296.27885
3694,NbSiRh,0.15749443300000002
3695,Nd3In,0.4236577
3696,Ta2B,-9.944215067
3697,TmNiGe,1.4869988669999998
3698,YbDy3,-1.6122309
3699,WF5,-29.92076007
3700,Li2AlPCO7,-466.6560133
3701,Bi3Rh,-0.993716067
3702,Ba7(ClF)2,-109.164602
3703,ErI3,-172.17805330000004
3704,Ca3SiBr2,-23.45297097
3705,DyS2,6.871037400000001
3706,TiMn2Si,-1.0375123
3707,MnH8(N2Cl)2,-399.89401
3708,Tb2S3,-101.8961053
3709,LuSF,-272.1974267
3710,CrO3,-10.03803567
3711,KAgSe,-63.99408067
3712,LiPrO2,-266.68674330000005
3713,KPt2Se3,-195.90067
3714,Li3Mn3SiO8,-241.2306933
3715,Y6FeSb2,-17.82656333
3716,V2ReRu,-14.491315
3717,Li5V(SiO4)2,-324.4811833
3718,MnAlTc,-16.674508
3719,NaCa(PO3)3,-138.73349
3720,PrBrO,-283.3451833000001
3721,RbPO3,-180.5433567
3722,NaPd2Pb,-7.808961
3723,MgCO3,-304.9938633
3724,BaTl2O4,-60.18769467
3725,BiCl3,-238.2127667
3726,Pr(FeGe)2,-9.023648467000001
3727,YbNdCd2,2.9070193
3728,HfNCl,-273.76413
3729,LiHO,-140.54986
3730,Ac3Pr,-26.82821333
3731,NaZnAs,-122.1804133
3732,BaTiO3,-288.39153
3733,Zn(CoN)2,-1.871812433
3734,KZrS2,-3.171422
3735,Li2Cr5(SiO)4,-140.60641669999998
3736,Li3MnAl2O6,-342.0381333
3737,Rh3Se,-2.803350533
3738,Ba3In2O5F2,-90.932255
3739,NdMnGe,8.587284333
3740,NbSiPt,-20.26288583
3741,BaMg(BiO2)4,-293.21276
3742,V2C,-23.60153933
3743,SrMnBi2,-17.46495367
3744,CoSbS,-44.97658947
3745,HPbI3,-246.4012333
3746,IrO3,-2.0052643
3747,Sb2S3,-222.5551067
3748,Th2Co7,-11.77546167
3749,Li2SnP2O7,-255.15925
3750,Na3MnAsCO7,-118.77831670000002
3751,NdIr3,-2.7499742
3752,LiFe3O3F4,-10.33140536
3753,InAg3,-1.4549648000000002
3754,LiFe3(SnS4)2,0.6792663329999999
3755,SiCN,4.863379167
3756,Tl2SnF6,-243.4115433
3757,NaLi5N2,-158.99927
3758,Sr(NiAs)2,-10.0840905
3759,NbSbRh,-41.399084
3760,AuCS2Cl3,-338.6365600000001
3761,NaNi2O3,6.886204533
3762,Pr2Sn2O7,-104.34149
3763,Mo2C,-2.099944737
3764,InFeCo2,-1.6999541669999998
3765,Ba(MnP)2,-8.098235133
3766,KBaP,-190.07239
3767,TbRh3C,-18.166877
3768,LiTaWO6,-347.24124
3769,Tm(NiGe)2,-14.10470667
3770,GePt3,-4.3283646
3771,AlFe2Ni,-10.650121
3772,WSCl4,-342.1376133
3773,K(BH)3,-315.8938
3774,ThTeAs,-3.575151033
3775,HfGeB2,1.1572916000000002
3776,YMgPd,-2.7401411330000003
3777,Ta2O5,-406.52689
3778,PrNi2,8.354115633
3779,LuGaRh2,-46.516444
3780,Ag2SO4,-144.58421669999996
3781,FeAs2,-101.8389657
3782,HoCo2,-22.549698
3783,RuRh3,6.934299799999999
3784,Li2VCoO5,6.372978633
3785,Cr3(OF)2,-118.8087067
3786,Sc5Cu5O3,-11.10232233
3787,PaSnPd2,5.750868367000001
3788,YbSiAu,-1.182763033
3789,CaCuO2,-39.918384
3790,KSmTe2,-244.67573
3791,NbCl3O,-320.24163
3792,Tl3VS4,-387.45331
3793,Th3Au,-11.453108
3794,Ba2YF7,-225.24584
3795,ZrNi2,-3.8467901
3796,Bi2Te2S,-97.97074533
3797,Tb2InPd2,6.028081667
3798,U2Al3Os,8.6210808
3799,IrCl3,-398.7411533
3800,Ti2MnBe,5.878725733
3801,KGeCl3,-223.7608067
3802,Re2P,-4.4398846
3803,AcHgAu2,-13.994171
3804,Nb3Si,7.329114
3805,RbAcTe2,-172.8729
3806,Ba2S3,-305.55626
3807,Re3Pt,-10.93860597
3808,LiNdGe,-59.67496433
3809,KAs,-143.18794
3810,LuMgPd2,-3.3011949
3811,Er3GaS6,-268.79400000000004
3812,ErB2,-6.235074667
3813,RbSnIO6,-144.9107867
3814,SmY3,1.351876667
3815,SmFeSi,8.484397233
3816,YbPu3,-14.322741
3817,Nd3Ho,0.34986618
3818,Ho2CdSe4,-59.74036733
3819,NaYbF4,-17.80182067
3820,BaIn,2.612376
3821,Ca3CrN3,-18.9022078
3822,MnSiIr,-2.4553824
3823,SrAl2B2O7,-146.01745669999997
3824,Zr(Ni2P)2,-24.579241
3825,Sc2Ni2Sn,5.4836059
3826,Ta9(NiS3)2,-14.741611
3827,ZrMnP,-8.104555
3828,NpH2,7.107930132999999
3829,Li5Sn2,2.798616033
3830,YRh,4.3838542999999985
3831,MnRh2Pb,-0.062019113
3832,Yb2Pb,-11.50968213
3833,TmTa3,-8.283407567000001
3834,NaTa3O8,-240.8843533
3835,U(Fe2P)2,-96.096584
3836,CaMgHg2,2.7507744
3837,CaHN,-120.2633433
3838,Pm2ZnOs,8.115014500000001
3839,Sr2YRuO6,-203.1895467
3840,Er(Al2Mo)2,-4.329342427
3841,MgCr2O5,-17.459981
3842,BeAu3,-16.953322
3843,HoCuS2,-293.6716767
3844,NiBiB,-3.2732867000000003
3845,BaAg,-1.667855933
3846,AlTlF4,-203.83678
3847,InPPd5,-4.512330367
3848,LiAlSe2,-134.0959967
3849,Li5V5(CoO)2,-3.0159517000000005
3850,Tl2Ni3S2,-9.719605167000001
3851,BaAgSb,5.5948853
3852,CrGaP2,-14.08903
3853,Ca(SbO2)2,-256.53673
3854,Mg2Bi2O5,-131.0950633
3855,LiGa2Rh,2.106723433
3856,Ba(CdP)2,-137.16537
3857,Yb2Ge2Ir,-1.6197882
3858,Li2PdO2,-411.5289367
3859,SmP,-9.814511733
3860,Pa3Si,0.95147682
3861,NaZr2CoF,-47.26285067
3862,LiCuF3,-164.7463767
3863,AlRe2,3.887479833
3864,Sr2ZnMoO6,-380.09364
3865,SrMnGe,5.9564661370000005
3866,TbNi5,-9.380441433
3867,Li3MgPCO7,-400.69445
3868,BaCrF6,-14.89422833
3869,BiClO,-100.6698733
3870,Hf6Zn6N,-72.436658
3871,U2SN2,-23.70472533
3872,Ce2Dy2O7,-517.7214667
3873,Tm2TlCd,-0.61662916
3874,MgAlAg2,4.0762099
3875,Ba2LuNbO6,-316.01641
3876,K3SiTe3,-189.8385733
3877,LuGaPd2,6.3704275
3878,BaSrSn,-81.74641033
3879,Ti3Zn2O8,-239.3504567
3880,YbZn,-7.894125532999999
3881,KTbO3,-38.668115
3882,Nb2O5,-276.6696033
3883,LiCoPO4,-7.269103332999999
3884,Ti2MnIr,-46.156373
3885,Ba2YTlCr2O7,-21.101603
3886,SiTe2Os,9.2564266
3887,TiFeTe,-288.4070966999999
3888,ThMgZn2,-8.615728
3889,SmZnAu2,2.007533
3890,NdCo5,5.587159
3891,LuFe2,-18.246729
3892,P3Rh,-32.968622
3893,NdBPd3,-8.0531166
3894,ThAl,4.515013367
3895,Dy3TlC,4.280076
3896,Ca2HfO4,-195.84946
3897,CoSbO4,-14.7799892
3898,Mg3Si2H4O9,-121.6600233
3899,BrClO,-214.9604967
3900,Mg2SiPt,-13.09059927
3901,Zn2BiWO6,-17.351018
3902,PrZn,3.3750392
3903,MnZnO3,-4.3182549
3904,RuS2,-98.70487
3905,MgCrF6,-56.29634067
3906,Dy(Al2Fe)4,-0.226837567
3907,Ba3BAsO3,-264.45787
3908,BeCu,0.86284319
3909,ThC,6.3561303
3910,LaNiO2,-16.83020267
3911,ZrI2,-3.374913967
3912,SmZn2Cd,-7.3610777
3913,PuAl3,-44.11091
3914,HfSO,-324.03403
3915,Nd5As2Cl,-302.3316133
3916,MgPPt5,9.816246967
3917,Nd3SnC,-32.098665000000004
3918,Co6O7F5,-11.287285
3919,RuAu3,-9.174478267000001
3920,Na4CoO3,-240.00943
3921,Rb2ZrO3,-130.7427967
3922,AgCO2,-431.43863
3923,LiBi3(ClO2)2,-141.52595269999995
3924,NbIO2,-162.068118
3925,PuAl2,-40.577917
3926,BeCo2Ge,-19.156091
3927,SnBO3,6.2519633
3928,PrNiSn,3.582863976
3929,K5P2Au,-78.90886033
3930,TmTlO2,-279.263
3931,CaCrF6,-36.43272467
3932,Li7SbO6,-170.1190333
3933,ScNbOs2,-42.059207
3934,DyIr2,4.811565333
3935,ScAlO3,-422.17022
3936,TbSi2,-6.613779067
3937,NdTeF,-123.12227
3938,TaInO4,-281.9670799999999
3939,YbZnAu2,-3.2979999
3940,ZrMnGe,-1.653692097
3941,NpRh3,-1.2091533
3942,SnSe2,-236.6976067
3943,K2SiF6,-151.13432
3944,Sr2UO4,-19.04598767
3945,K3NaCr2O8,-420.55081669999987
3946,ScGeRu,2.530726333
3947,SmZnPO,-279.6808633
3948,Na2InPCO7,-161.22226
3949,Zn3Ir,4.38707582
3950,LiCaAlN2,-283.7542167
3951,Rb3V,-39.329157
3952,ErB2Rh2C,9.228642133
3953,Ge2MoO6,-2.908796333
3954,NiN,-2.507671767
3955,DyZn,5.228177099999999
3956,Li2Cr3CoO8,-4.912585667
3957,YbNdZn2,8.9325948
3958,MgNi2Sn,-7.0999883000000015
3959,Np(GeRh)2,-13.26254
3960,YbIn2Au,4.594050833
3961,HfZnCo2,-39.760138
3962,ScBrO,-453.0774067
3963,DyRh5,-11.78084041
3964,Tl4GeS4,-258.0982067
3965,BaHg,2.7349916000000003
3966,SrCu,-16.38307933
3967,Li4Fe3TeO2,9.32028
3968,Zn2AgSbO6,-43.81679867
3969,AcBr3,-170.3438367
3970,Mg2VBiO6,-299.4862467
3971,YbBe3,-32.101663
3972,TaCrO4,-232.8020333
3973,CrNiSb,-18.933429
3974,MnGa,2.275182367
3975,ZrCdO3,2.6660388
3976,Dy2ZnGa,-12.869397
3977,AlSbI6,-209.39514
3978,CdHgO2,-95.56879967
3979,ZnSiAs2,-165.06944330000005
3980,HoAgGe,-1.675882267
3981,NaSmSe2O7,-238.19413
3982,SrH2(ClO3)2,-128.2280733
3983,Ge2Te5As2,-254.5020467
3984,Sm2MgIr,9.3105566
3985,CdAg2Au,-1.4741023000000002
3986,SiO2,-228.06301
3987,Nb3Ni,-16.037995000000002
3988,SmNiB4,-18.74695533
3989,LiCd2Rh,-8.9354408
3990,Zr6CI2,-174.6699623
3991,Np(SiPd)2,-25.33167730000001
3992,BiTeCl,-98.35639367
3993,NaClO2,-286.6348067
3994,UNi5,-10.878732
3995,Hf2GaSb3,6.229945767
3996,Sn2OF2,-216.8837133
3997,Sm3SnC,-32.202472
3998,LiSbS2,-180.04330330000005
3999,Zn(PtO2)3,-224.6409597
4000,SmSnPd2,7.240853599999999
4001,BaSnHgS4,-155.8029533
4002,YbPd,-14.620809
4003,FeMoClO4,-14.83151013
4004,SmErO3,-298.9864
4005,SmI,-70.049346
4006,Ba2SrTeO6,-175.01844
4007,Ti2Ge,-16.733455
4008,PmH3,-65.65862800000001
4009,CaC2,-194.31154
4010,NpCuSe2,-37.32850367
4011,PmTlAu2,-2.6758332
4012,Li2GaPd,-5.447925832999999
4013,Li5CoO3F,-73.78446133
4014,RbAgO2,-385.47076
4015,ZrAlCo2,-6.989242467
4016,KAlTe2,-172.18702
4017,S5N6,-388.4872567
4018,YbMgO3,-4.9432857000000014
4019,YBPt2,-24.71428683
4020,KSbS2,-272.1135467
4021,K4SnSe4,-103.911597
4022,TbOF,-141.58504
4023,Ca3SbN,-150.46722
