,pretty_comp,encut
6937,Nd3Th,550
6938,ZnSe,650
6939,Ti3Au,500
6940,GaAsIr2,500
6941,ZnAu,500
6942,Li3Mn(PO4)2,1350
6943,SrBeRe,700
6944,ScTaO4,1200
6945,Li3Mn2O4,1250
6946,AuSeCl7,850
6947,KAgSe,550
6948,RbErSe2,500
6949,CoSb3,1050
6950,U(SiPt)2,500
6951,Na2HfBe,600
6952,HfAs2,500
6953,BaPr2FeS5,650
6954,Rb2SnSe3,600
6955,Tm2MgOs,600
6956,Zr2InNi2,600
6957,ErCd2,550
6958,MgTe,600
6959,Co2CuS4,950
6960,BeBiF3,550
6961,Te2MoWS2,650
6962,Te2Mo3S4,650
6963,AlV2O4,1200
6964,KSmGeSe4,700
6965,BeCoGe2,600
6966,BaHo2PdO5,1250
6967,Ba2Zn3(AsO)2,800
6968,ZrScOs2,500
6969,RuCl2O,650
6970,BaVClO3,1250
6971,NdBi2IO4,1100
6972,Be2BO3F,1250
6973,Rb3Ac,500
6974,Mn3Sb,700
6975,NdP,500
6976,TbTe,500
6977,Zr2N2O,1100
6978,TiBeBr4,700
6979,InN,850
6980,CeO2,900
6981,Rb2NaInCl6,800
6982,Ba4TeBr,600
6983,Cd2PtRh,650
6984,PrFeSi,700
6985,Li2MgIn,1100
6986,InBr3,650
6987,Fe5B2P,1000
6988,Ca(MnBi)2,650
6989,PaGaCu2,650
6990,TiCo3,550
6991,BeSiPd,900
6992,KAgF3,1200
6993,KNO3,1200
6994,SmFeP,750
6995,BeReBi,650
6996,CaIn2Au,600
6997,Nb3Au,550
6998,Na6MnS4,800
6999,Yb(SiPd)2,500
7000,BeCo2Ge,600
7001,Hf2TaN3,900
7002,YMgTl,750
7003,Ho(CuS)2,850
7004,Nd3In,500
7005,Ti2Al2O7,1300
7006,Re3W,750
7007,KSc2Be,700
7008,UCuGe,600
7009,BaPbO3,750
7010,NbO2,1100
7011,Ba2NbTe,550
7012,NaV(GeO3)2,1250
7013,MgW3,800
7014,ReSbO6,1250
7015,Co2NiO6,1100
7016,Yb5Sb3,500
7017,CeBiAu2,1250
7018,Li2CdCl4,1200
7019,BaZn(SnO2)4,1200
7020,MnBeCr2,650
7021,TiNbS4,600
7022,Ba2Pb,800
7023,Ce2CoSi3,1400
7024,ZrB2,1050
7025,NdSiAg,550
7026,BaAlCuBiO5,1150
7027,Sc2BeBr,1000
7028,BaAlCoCuO5,1100
7029,HoNbOs2,600
7030,TmNp3,800
7031,Yb2Ge,700
7032,VAsRh,650
7033,HoGaNi,600
7034,SnRh,500
7035,CaNdCd2,600
7036,NaYS2,600
7037,ZrP,500
7038,NpTe,700
7039,Pm2IrAu,500
7040,NaBe2Tc,1050
7041,Ba4MgPt,600
7042,CdCo2As,500
7043,Ba2CuSi2O7,1250
7044,LiPm2Os,500
7045,Sm3TaO7,1250
7046,Li(Fe3Ge2)2,800
7047,Ta2Ni3S8,700
7048,TmMn6(GaSn2)2,750
7049,NiO,750
7050,Ca2ZnRh,500
7051,Al2PdCl8,850
7052,PrAl2,550
7053,YLuZn2,600
7054,BeOsBr4,950
7055,Ta3Sb,500
7056,ScBiPd2,500
7057,Sr2CdPb,500
7058,MnBe2Re,1050
7059,IrF4,650
7060,K8SnSb4,550
7061,Ba2InHg,600
7062,Be2CrBi,1050
7063,BePRu2,1000
7064,YPbAu,550
7065,CaFe(SiO3)2,1250
7066,KMnO2,800
7067,RbLaO2,1900
7068,BeTcPd,1050
7069,CdRhO3,800
7070,TmCo3B2,700
7071,AsIrPt2,600
7072,La4BeTc,1800
7073,BaNaZr,500
7074,MgTiO3,1150
7075,BeOsRh2,700
7076,TmScRu2,600
7077,Be2TlPt,1050
7078,K2LiAlF6,1250
7079,YbSnRh2,500
7080,BeFeTe2,650
7081,TiFeSb,650
7082,YAgS2,550
7083,Nd2CuO4,1050
7084,MgMoF5,1250
7085,NaCrH8(NF3)2,1200
7086,Li3Co2(SiO4)2,1300
7087,BeGa2Fe,600
7088,Nd2InRh2,650
7089,WN2,850
7090,YAgHg2,600
7091,YTiGe,500
7092,BaAlGe,600
7093,NdNi,650
7094,BaMgSn,600
7095,ScBe2Si,1000
7096,Tb3Al,500
7097,TeW2S3,650
7098,UFeB4,1000
7099,BeSnIr,650
7100,CuN,950
7101,Ac3Th,550
7102,SmCuS2,950
7103,Ti2OsRu,550
7104,MnBe2Te,1000
7105,Ba4ReGe,700
7106,DySbPt,500
7107,Rb2CoI4,500
7108,MgTa2N3,1250
7109,SmCl3,800
7110,Lu(SiRu)2,500
7111,PaBO3,850
7112,BaSc2Si,500
7113,CrFe(BiO3)2,1100
7114,CoBr2,500
7115,NaSbO3,1250
7116,RhSe,600
7117,Ba2Zn2ClF7,1250
7118,PrSnRu,500
7119,LiIn(MoO4)2,1250
7120,PrInAu,500
7121,Ce(AlGa)2,1250
7122,TmBiPd2,500
7123,Na3Cl,700
7124,Sn2OF2,750
7125,SrBr3,550
7126,Ba2In2O5,1250
7127,YAgPb,950
7128,LuInCu2,850
7129,Al2B2Ru3,600
7130,ZrTlCdF7,1200
7131,TiBeZn2,600
7132,AlGaN2,900
7133,TcO3F,1250
7134,NdBr3,650
7135,K(NiS)2,600
7136,ErGeRh,1050
7137,Ce(MgSi)2,850
7138,Li3Fe(PO4)2,1300
7139,YbNdHg2,550
7140,Np3Sn,800
7141,Se2Cl2O5,1200
7142,ScSi2,500
7143,AcAgHg2,550
7144,Tm2MgTl,600
7145,Mg4BeTl,750
7146,HoNi2,650
7147,PPbSe3,700
7148,SbN,900
7149,Be2SiCl,1000
7150,PH2NO2,1100
7151,Y2Mn2O7,1250
7152,TbGaRh2,550
7153,Ca3SbN,850
7154,Na2PRuCO7,1300
7155,ThTi2O6,1100
7156,YbSmRh2,550
7157,Ba4WBr,550
7158,MgH2(SeO3)2,1250
7159,NbO,750
7160,Pr2NiIr,600
7161,Sm5AgS8,750
7162,FeO2F,1150
7163,NaClO3,1300
7164,Be2InNi,1050
7165,Dy2CdSe4,500
7166,BaLiBi,750
7167,ZnSbO3,1200
7168,Ag3AsS4,900
7169,LiCa2Ga,650
7170,Ba(NiP2)2,600
7171,BaGaGeH,700
7172,AgAsO2,800
7173,Tl2SO4,1300
7174,InC3,800
7175,PH6N3O,1300
7176,Li3Ga,1200
7177,ZrNiGe,600
7178,Sc2FeSi2,750
7179,Ba2ZnAg2(SeO)2,800
7180,BeCu2Br,650
7181,Ba(InTe2)2,600
7182,TlHg,500
7183,K2RbAs,500
7184,CeS2,1300
7185,PtCl2,800
7186,U2Ni2Sn,650
7187,MnPtF6,850
7188,LuBRh3,500
7189,MnAuO2,800
7190,Ba4MnCd,650
7191,HfAlPt,1000
7192,MgAl,650
7193,CaSi,500
7194,Li2CrPCO7,1350
7195,Be2RhSe,1000
7196,Y(SiAu)2,550
7197,SrLi2Sn,750
7198,TbGa3Os,700
7199,Si2N2O,1350
7200,NbSiIr,600
7201,Ba4TeMo,600
7202,Nb2Cd2O7,1250
7203,Sc2CoRu,500
7204,BeGa2Re,600
7205,V2AsC,900
7206,Ga2NiS4,600
7207,YErO3,1250
7208,Ba7(ClF)2,1250
7209,BaNa2Pb,500
7210,BePPd,950
7211,CdB2Xe,1300
7212,Mg3TeO6,1250
7213,Ga2WSe,500
7214,TaTiAl,500
7215,UC2,900
7216,BeSbPb2,650
7217,Rb2AuI,500
7218,K3ReClF6,1200
7219,SbRu,650
7220,Ta2Mn2O7,1250
7221,Ba4MnFe,700
7222,LiMnPt2,750
7223,Al2HgTe4,500
7224,LuMg,650
7225,SrSnPt,500
7226,ErAgHg2,550
7227,ThSb,500
7228,Li2MnOF3,1250
7229,Rb2CoF4,650
7230,BaZnSe2,650
7231,BaNaSb,700
7232,Al2CdS4,600
7233,ZrAl2,900
7234,ZrSO,750
7235,TiO2,850
7236,LiMg2Tl,700
7237,ZrTi2Be,700
7238,PtS,600
7239,Te8Mo3W,500
7240,Li2V3FeO8,1250
7241,BeTlPd,950
7242,Ba4Sb2O,850
7243,LiV(PO3)3,1250
7244,YScO2,800
7245,Ba4BeNb,650
7246,Bi3O4F,1200
7247,Sr(NiSb)2,600
7248,Dy2Ti3Si4,800
7249,BeV2Si,650
7250,Dy2CuRh,650
7251,AlTlO2,800
7252,Mg3Al4,1100
7253,Tm(CoGe)2,700
7254,LuGaCu2,600
7255,Mg2BeFe,700
7256,Li2Mn3TeO8,1200
7257,TiBe,650
7258,Ba4NiRh,550
7259,Ba2NaO,800
7260,Sm3NbO7,1250
7261,Ca(FeO2)2,850
7262,LiV(CO3)2,1250
7263,NaP,850
7264,Fe2TeO6,1250
7265,Ba2GaPb,650
7266,Na4CO4,1150
7267,Tm2Ru2O7,1250
7268,AsPAu,500
7269,RbI3,550
7270,ScAlRh2,600
7271,Ba2CuC(NO)2,1100
7272,Ca(NiS2)2,900
7273,Mo3(Se2S)2,600
7274,NaSm3SiS7,750
7275,UO2,1150
7276,Tb(NiB)2,600
7277,Co(TePd)2,500
7278,Hf4N3,900
7279,AcHgAu2,550
7280,CuH,550
7281,ZrBeBi,950
7282,W2N,900
7283,Sm2Mn2O7,1250
7284,B2Au,650
7285,ZrIn3,500
7286,Ti2CuS4,800
7287,ErAu3,550
7288,Ba2SnS,600
7289,Sr(Mo3S4)2,650
7290,Ba4RuPt,550
7291,Li2FeO3,1300
7292,ZrAlPt,1100
7293,Rh3W,650
7294,TbHg2,550
7295,BaEr2CoO5,1150
7296,Te3Mo2Se,500
7297,MgCd3,650
7298,V2MoW,600
7299,Tl2GeSe3,700
7300,BeSnCl,900
7301,Sm(AlCl4)2,850
7302,Na6Ge2Se7,850
7303,Ho(GeRh)2,600
7304,HoMnGa,700
7305,BeTc2Os,1050
7306,NaYSe2,500
7307,Ho2PdRu,500
7308,YbCl3,800
7309,PaO,750
7310,ScBe2Cu,1050
7311,Ba4BeTl,650
7312,Dy(MnSi)2,700
7313,RhC,800
7314,Be2TcBi,1050
7315,TbGa2,500
7316,YErZn2,600
7317,Li2AlBO4,1850
7318,Li2YBe,800
7319,Th(SiPt)2,550
7320,BeVSi2,650
7321,BaPSe4,550
7322,TiBe2Nb,1000
7323,CaGaBO4,1300
7324,NbGaFe2,700
7325,KNa2Cd,550
7326,GaAuO2,1150
7327,KVF3,700
7328,LiPdPb2,800
7329,BeRe2Ir,650
7330,Ba4NbPt,600
7331,Tm(MnSn)6,750
7332,Ho2Mg,700
7333,BeNbBr2,900
7334,ErS2,600
7335,BaCrSe4,550
7336,SrAl9Co2,500
7337,MnBe2Hg,1050
7338,PmMgCd2,650
7339,Be2VIn,1050
7340,Li2PmTl,750
7341,LiTmRh2,700
7342,ThRu2,1000
7343,Na2VPCO7,1300
7344,LiBiF5,850
7345,SrBeCd2,650
7346,PSe,700
7347,Er3P4Pd7,500
7348,Ba4SiIr,650
7349,BeSiOs4,650
7350,VPd2,500
7351,ZnPPt5,850
7352,LaMg3,1850
7353,PmInPt2,500
7354,GaBiO3,850
7355,TmTiGe,700
7356,Y3AlNi8,750
7357,Li3B(PO4)2,1850
7358,BaS2,650
7359,MnPO4,1250
7360,Ce2ZnPb,1350
7361,BeOsRu2,1000
7362,ScPd3,900
7363,Dy3Co6Sn5,800
7364,LuTiO3,1250
7365,Mg3Mn,650
7366,Ho(SiOs)2,600
7367,UNi2Sn,650
7368,BeTlBi2,650
7369,TiMn2Si,700
7370,Y(BC)2,1000
7371,PmYMg2,750
7372,HfGeTe4,650
7373,ZrN,750
7374,Hg(Mo3S4)2,650
7375,Tb(AlSi)2,500
7376,BaAlCuSnO5,1150
7377,SrBe2Mo,1000
7378,Mg(GaO2)2,1200
7379,HoHfOs2,600
7380,BeCrIr2,1000
7381,Re3As7,750
7382,BaSc4Co,500
7383,LiMg2Al,750
7384,GaCoRh2,550
7385,BeRhPb4,650
7386,NaInH8(NF3)2,1200
7387,MgTa,650
7388,ZnCrF6,650
7389,K(SbSe2)2,500
7390,K3SbO4,1250
7391,TlCuPO4,1250
7392,HfSiPd,900
7393,MgInCu4,950
7394,Ti2AsRh,500
7395,K(Cu2As)2,900
7396,Mg3B,1000
7397,BaNbSe4,550
7398,SrTiO3,1100
7399,MoPb,500
7400,BaScIr,500
7401,Na2CuF4,800
7402,HoMnGe,750
7403,P4S7,650
7404,BeAu3,1000
7405,Ta3Br7,650
7406,RbNdTe4,500
7407,K4Sb2O3,1200
7408,Te2Ir,500
7409,Ta4AlC3,900
7410,Al3Pd2,800
7411,Re2PtRh,500
7412,YbTaRu2,600
7413,Li2NiP2O7,1300
7414,Ta2C,800
7415,KAsO2,1250
7416,Rb2CoS2,600
7417,DyZn,500
7418,CsCaH3,1850
7419,In2NiS4,550
7420,CeSi2Ir3,1300
7421,MgCd,650
7422,NdAlCu,700
7423,SmAl4Ni,650
7424,OsO2,850
7425,K3Ho,550
7426,NdAl3(PbO4)2,1300
7427,Nd(CuO2)2,1150
7428,Li6V(OF)3,1300
7429,Dy(CoB)2,700
7430,LiAsRh2,650
7431,Pm2ZnHg,500
7432,Li2Fe3NiO8,1250
7433,Ti2Zn,650
7434,Be2CrSb,1050
7435,PaRh3,650
7436,Zn7Sb8Ru9,1300
7437,Al2Ge(HO3)2,1250
7438,Mg(CoO2)2,1250
7439,Ca2CoN2,900
7440,TlCuAs,600
7441,NdPd2,500
7442,BeZn2Re,600
7443,CuSO4,1250
7444,Be2CoSe,1000
7445,Rb3BP2,650
7446,DyBC,900
7447,TiAl2,500
7448,ZrNi2Sb,600
7449,AgPF6,1150
7450,SrGa4,700
7451,TbMn2,700
7452,Li2FeNi(PO4)2,1250
7453,RbBiO3,850
7454,Tb2Ti2S2O5,1200
7455,Ta2BeOs,650
7456,Pr2IrPd,500
7457,BMo,650
7458,Na4PbO4,1250
7459,LiBi3(BrO2)2,1250
7460,Ba4HfMo,600
7461,Na3Mn2SbO6,1150
7462,ThAl3,550
7463,MnGaFe2,700
7464,Lu2In,550
7465,Y3CuSnS7,700
7466,Ba2SnHg,600
7467,Li2Mn3FeO8,1250
7468,Dy2CdPd2,1000
7469,Li6VCrP2(CO2)2,1350
7470,Na5CoSO2,850
7471,La(CoB)2,850
7472,CoSn2,650
7473,Li(TiSe2)3,750
7474,ScNi4Au,650
7475,TbNiSb,600
7476,Ba4ScP,550
7477,LiIn2Ir,750
7478,Sm3Ga,500
7479,Li3FeSiO5,1300
7480,TiHgO3,800
7481,Dy2Mn2O7,1250
7482,TaCuN2,900
7483,YbPrHg2,550
7484,LiBe2Re,950
7485,ScBe2Pb,1050
7486,Li2ZnAu,750
7487,MnV2Re,600
7488,AlFe3C,900
7489,TiPN3,950
7490,BePW2,950
7491,MnBeCl2,550
7492,Ag(Mo3S4)2,650
7493,LiTmTl2,750
7494,Dy3CuSnS7,600
7495,Th3Co3Sb4,600
7496,Ce2AgPb,1350
7497,Mg3C,650
7498,Li2(VS2)3,1200
7499,Li3Ni3OF7,1200
7500,InTc3,1050
7501,Fe3C,950
7502,LaZnGa,1100
7503,TbZrSb,500
7504,PrGe,500
7505,LiSm(CuP)2,700
7506,Ba4YTi,550
7507,ZrCl3,850
7508,Cr2CdSe4,500
7509,AlB2,650
7510,RbCu4S3,950
7511,Li2FeO2F,1250
7512,TbCdF6,1200
7513,LiVAsO5,1300
7514,U(SiAu)2,500
7515,Sc7NCl2,850
7516,Pr3Sb4Au3,800
7517,Tb2Mn2O7,1250
7518,Rb2H2C2O5,1300
7519,Be2InSi,1000
7520,Y2Al3Si2,500
7521,Tm3AlN,800
7522,ThIr2,500
7523,BaYBr,500
7524,Li4Mn3Fe(P2O3)2,1300
7525,ScNiSb,600
7526,TaMn2Be,600
7527,CaBe2Ga,1000
7528,TiBeHg,950
7529,SrPSe3,700
7530,TiI4,600
7531,K2Ag2SnSe4,550
7532,ScBeGe,650
7533,YTiBe,950
7534,BeSnSb,650
7535,TaAsP2,500
7536,Be2CuBr,1050
7537,TiBe2Tl,1050
7538,SmPO4,1300
7539,Na2BeBr,650
7540,ZrCoSb,500
7541,TaTiBe2,1000
7542,Sr3NiIrO6,800
7543,GePd,500
7544,Li4V3Ni3(WO3)2,1250
7545,Ag2SO4,1250
7546,SrFeMoO5,1100
7547,NdSmIr2,500
7548,Cr2CdH4(NO2)4,1200
7549,Ba4NaBi,700
7550,ZnFePO5,1250
7551,Ca2B5Os3,750
7552,ZrBe2Pd,1050
7553,Tm2ZnRh,500
7554,NaAsO2,1300
7555,YMgGa,750
7556,Cu3(Ge2O)2,1250
7557,Ga2TeO6,1250
7558,Na2CoGeO4,1250
7559,Ca4H2Rh3,750
7560,Ba2LiNb,750
7561,BeTlHg2,1000
7562,SnAu,500
7563,ZrZnF6,850
7564,Be2OsBr,1000
7565,NdN,800
7566,Ba2ZrPb,500
7567,Co3BPO7,1750
7568,SiPd,850
7569,BeCoP,650
7570,PmGaCu2,600
7571,ZnSnF4,1200
7572,Ca3AsCl3,600
7573,BaGa2,600
7574,DyPaRu2,500
7575,Tm2IrOs,500
7576,CaGe,500
7577,Ir3Ru,500
7578,PCl2OF,1250
7579,BeReSn2,650
7580,Li3Ni2(C2O)2,1300
7581,Re2P,900
7582,Cr2AgTe4,750
7583,TmTaRu2,600
7584,NaPmAu2,550
7585,Ba4MgSn,500
7586,Ni3GeC,850
7587,TlPt,900
7588,CaH2(ClO3)2,1200
7589,PaAu3,550
7590,Ba4BiW,600
7591,Ca(CoO2)4,1250
7592,V2Zn3O8,1200
7593,Ca2VN3,900
7594,BeTcP,1000
7595,LiMgSb,800
7596,Li3VP2HO8,1300
7597,BeNbBi4,950
7598,Ti2AlRe,600
7599,Zn(CuO2)2,1150
7600,PdPtF6,850
7601,Ba4SbPb,600
7602,LiHSeO3,1300
7603,HN,1400
7604,Lu2AlTc,800
7605,ReAsCl,600
7606,Li6CoO4,1350
7607,DyNiSb,600
7608,YBPt2,850
7609,PaAl3,500
7610,ScNiGe,1550
7611,YbCuSb,850
7612,InBiO3,1250
7613,MgAsRh2,650
7614,MnZn(SiO3)2,1250
7615,Sm2AgRu,550
7616,NiAsRh,650
7617,BeFe4Mo,750
7618,InCuPd2,650
7619,TmCdAu2,550
7620,Ba4TiP,600
7621,Pd(SeCl3)2,850
7622,Yb4As3,500
7623,TbZnNi,600
7624,Ca2MgHg,650
7625,NaAcAu2,550
7626,NdAl3Pd2,800
7627,K2PdCl6,850
7628,CuSe,850
7629,Rb3AlO3,1200
7630,Zn2NiWO6,1200
7631,Sn(WO4)2,1200
7632,Li2CrO3,1300
7633,Eu(SbOs2)2,700
7634,YCuPb,650
7635,NbInS2,600
7636,GaAgTe2,500
7637,YB2C,1100
7638,LuAl2Ni,650
7639,K4YBe,1000
7640,Ba2TbReO6,1200
7641,TlFeS2,650
7642,NdTi2CdO6F,1250
7643,YCl3,850
7644,Na2GeTeO6,1250
7645,Ti2MnGe,700
7646,SbAsIr,500
7647,Dy2AgRu,500
7648,Be4B,1100
7649,HfTa2Be,950
7650,Ba4CoBr,550
7651,YbDyRh2,500
7652,Zr2TlC,800
7653,Rb2Pt3S4,600
7654,PbCl2,800
7655,LiBeV2,850
7656,Al4C3,900
7657,Ti2B,700
7658,AlICl6,850
7659,SmMg2Sc,650
7660,Mn2Fe3(CoO2)3,1250
7661,KV3(SeO)2,1300
7662,RbCrO2,800
7663,Pr3Nb(Cl3O2)2,1250
7664,KV5Se8,600
7665,BaCa2Pt,500
7666,K2Mg2O3,1250
7667,ZrZn2,700
7668,YbNdS3,600
7669,Rb2HfF6,1150
7670,Li2CoNiO4,1200
7671,Li4SiO4,1300
7672,Ti2AlN,850
7673,Ba3Zr2O7,1250
7674,BeCdPd2,1000
7675,SmDyIn2,550
7676,Sm3Ti3(SeO4)2,1300
7677,AgHg3SbO6,800
7678,Ca2ScBe,650
7679,AgHg2PO4,1250
7680,LiMgVO4,1200
7681,Tl3Ir(N3O)2,1300
7682,Rb2Mg,750
7683,ZnSiRh2,500
7684,BaHfHg4,550
7685,Mg3ZnO4,1100
7686,CrAsPt2,800
7687,InPPd5,900
7688,YbRh2Pb,550
7689,Cu(IO3)2,1250
7690,NaBe2Pt,1000
7691,Tl2PdSe2,500
7692,SrAcTl2,500
7693,LiHO2,700
7694,YMg3,750
7695,La2AgSn,2000
7696,MgSiIr2,700
7697,NiN,900
7698,Ba(BSe3)2,1300
7699,SmTmRu2,500
7700,Y2ZnIn,500
7701,SnC,800
7702,BaTm2O4,1250
7703,DyRh2,650
7704,KHF2,750
7705,LuNiPb,700
7706,PmH,600
7707,LiTmAu2,750
7708,HfSiNi,600
7709,Sb(IF3)2,1250
7710,Sm2CdS4,600
7711,TmLuTl2,500
7712,Y2O3,1200
7713,YZnSn,700
7714,H6PbCBr3N,900
7715,Sc3Cd,600
7716,CeInAu2,1250
7717,SrAlO3,850
7718,ZnB3Ir4,700
7719,Ba4MnTl,650
7720,Pd3(PbS)2,850
7721,CaGeN2,900
7722,TaAlPt,500
7723,Li2FeAsCO7,1300
7724,IrCl2,800
7725,BeNbPt2,950
7726,SnPt3,800
7727,NdZnAsO,750
7728,BeNbSb2,900
7729,ErSiRh,650
7730,RbSr2Nb3,1250
7731,Li4MnCr3(P2O3)2,1300
7732,Rb2P3,500
7733,Ba4CrCo,600
7734,LiCaAlN2,1300
7735,NdSe,500
7736,RbTmO3,800
7737,UB2C,1000
7738,CaBeIn2,650
7739,Fe3SnC,850
7740,Ba4ZnGa,650
7741,KTm,500
7742,Be2CdBi,1050
7743,Ti2N,850
7744,PbBrCl,600
7745,N2O,1400
7746,Li4CuF5,1200
7747,CePbAu,1350
7748,KBaZn,500
7749,USO,800
7750,LiSbAu2,750
7751,PrCuPb,650
7752,Na3TlO2,1200
7753,DyAgGe,500
7754,BePd4Se,1000
7755,CeInAu2,1250
7756,U(MnAl2)4,700
7757,Mn2OF3,750
7758,BaVCd,500
7759,MgRuO3,1100
7760,RbBe2P3,1300
7761,MnSbRh2,600
7762,ZrAu4,1150
7763,Tb2Be2O5,800
7764,HfCo2,500
7765,KBa4Mn,650
7766,K2Al2B2O7,1850
7767,GeF2,750
7768,InSnBr3,550
7769,Li2Mn3NiO8,1250
7770,BaMn2Cl,650
7771,LaBeV2,1800
7772,LiAuC2,1000
7773,TmNi4B,800
7774,GeAsP,500
7775,V2TcOs,550
7776,Rb3AuO,650
7777,NdPbAu,600
7778,Pd3Au,850
7779,Li(CoGe)6,600
7780,Ta3PbS6,650
7781,Al6Cd4SO2,1250
7782,Li8CeO6,1250
7783,RbGa3S5,750
7784,NaHf2VF,1200
7785,Ca4BeRh,650
7786,Ca2Pb,500
7787,Nd2MgCu2,950
7788,Er2SnAu2,500
7789,BaSrSn,600
7790,SbSI,600
7791,PrNdMg2,700
7792,AlClO,750
7793,Sr2GeS4,700
7794,YbAu3,550
7795,Li5(FeO2)4,1250
7796,K3VSO3,850
7797,SrNb2O6,1300
7798,Li2Pt,750
7799,K7NbAs4,550
7800,Er2(NiB2)3,750
7801,Li4Mn5NbO2,1250
7802,Mn5O3F5,850
7803,Te2SO7,1300
7804,CuHgSeCl,900
7805,SmCuSi,650
7806,KNaSe,750
7807,Sr4Li(BN2)3,1250
7808,Li2FeNi3O8,1500
7809,ScTlSe2,500
7810,TiBePt4,1050
7811,Dy2ZnIn,600
7812,AsIr2Rh,500
7813,Li2BiO3,1300
7814,Nb3B2,650
7815,LiSiBO4,1200
7816,Ti2Co,550
7817,YCrO3,850
7818,CaBeBi2,650
7819,Ba2In2O5,1250
7820,Ba4MnRh,600
7821,ErSnAu,500
7822,Li5MnNi4,1450
7823,Co2CuO4,1200
7824,Ba2TlCo2O7,1200
7825,Tl4SiS4,650
7826,K2BeRh,650
7827,Ca2BN2F,1200
7828,NiSbS,650
7829,CaMnF5,1200
7830,Al3Ir,500
7831,MoRh3,1150
7832,EuSb2,500
7833,Tl5Se2I,600
7834,LiFeS2,750
7835,Pr(Al2Cu)4,950
7836,TmIn,500
7837,Ba2NaCu,800
7838,LiMnF3,1200
7839,V2H3O5,1150
7840,Sm2IrRh,500
7841,Li2AcPb,750
7842,KLiSO4,1300
7843,LuMgPd2,800
7844,LiNd2Ru,650
7845,LuInPt,500
7846,Ba4ScBe,650
7847,Be2NiSn,1050
7848,LaCoTc2,900
7849,Li4H6Os,1250
7850,PmHgAu2,550
7851,PrTa3O9,1250
7852,Ba4FeCu,550
7853,CaN,800
7854,DyZnIn,650
7855,Li8VO5F,1300
7856,Tb2CoGe2,750
7857,ErAl3,500
7858,Ho2MnOs,600
7859,YbHO2,1100
7860,LuAgO2,800
7861,AlCl3,750
7862,Yb3Ti,500
7863,Ba3BiAs,650
7864,Ti(FeO2)4,1200
7865,Li2TiNi2O5,1450
7866,Lu2O3,800
7867,Yb(Al2Mo)2,500
7868,SrBeIn2,650
7869,Ba2UFeO6,1200
7870,Eu2PI,500
7871,Pm2AgRu,650
7872,Mg3Zn,650
7873,Ho(CrSi)2,550
7874,Li3MnSi2O7,1250
7875,Cu2OF2,1150
7876,Ca2Mn3O8,1200
7877,Cu(RhSe2)2,1000
7878,TbB6,950
7879,Fe3(SiO4)2,1250
7880,Lu8Te,500
7881,CrPO5,1250
7882,PbN,850
7883,Co2SbO6,1300
7884,TiZnRh2,500
7885,TaInRu2,500
7886,YbH2ClO2,1150
7887,KP,500
7888,Tb2S3,750
7889,Ba3N,950
7890,MnCuRh2,600
7891,TiNCl,850
7892,CaMg2Ni9,650
7893,Zr3Pt,850
7894,TiZn(GeO3)2,1300
7895,Ag3PO4,1200
7896,Li2CeAl,850
7897,Hf4Al3,500
7898,InGe3,700
7899,YbBO3,1200
7900,KPt2S3,800
7901,YAl3,700
7902,Rh3(PbS)2,550
7903,Ag2HgI4,550
7904,ThGa2,650
7905,BaSrHg,500
7906,HfBeZn2,600
7907,Ba4ScTl,550
7908,Ge(PbS2)2,700
7909,As4S3,650
7910,K2B2S7,700
7911,KSb,550
7912,LiCoGeO4,1250
7913,Rh(OF3)2,750
7914,BeGe4Ir,600
7915,CuF2,600
7916,Lu2CuRu,650
7917,Sm2InGe2,700
7918,Li3AuO3,1350
7919,Xe(OF)2,750
7920,TaBeRu,1000
7921,Al2Si(O2F)2,1350
7922,Ca3MnCoO6,1250
7923,BeCoNi,650
7924,BeHgTe2,900
7925,ZrTlCuS3,500
7926,CeCd3,1250
7927,SnBO3,800
7928,Hf2RuRh,550
7929,PuRh3,600
7930,MgTlF3,700
7931,Nb3Sb2Te5,600
7932,H5PbCI3N2,1100
7933,BaTaCl,600
7934,Li2FeBr4,800
7935,Yb2Co2O5,1150
7936,LiCo2OF3,1200
7937,Ba4HfSb,600
7938,Be2CdPd,1050
7939,Nd(GeRu)2,600
7940,Hf2Al3,550
7941,Li3(FeO3)2,1250
7942,TiBe2Zn,1000
7943,TmPaO4,1250
7944,V2FeSe4,650
7945,LiBeP2,750
7946,ThSb,500
7947,ScAsP,500
7948,PmInPd2,500
7949,GaGeRu2,500
7950,AcAg,500
7951,BaSnPb,550
7952,MgSn(BO3)2,1200
7953,Rb2ZrO3,1150
7954,ZnB2(CN)8,1250
7955,CaAlF5,1100
7956,BaNa2Mg,550
7957,As2Os,650
7958,Tm2IrPd,500
7959,TbB2,600
7960,CeCuSn,1650
7961,PrMg2,750
7962,Ca2As2O7,1200
7963,Ba3CrS5,650
7964,MgCuSn,650
7965,Ba4MnCu,550
7966,RbTiCl3,850
7967,Be2NbGa,1000
7968,BePdRh2,1000
7969,Nd3CoB4,1000
7970,DyCoSn,700
7971,ReRu3,650
7972,Ba4ScV,600
7973,HoGa5Co,700
7974,LiTm2Ru,500
7975,Pd(SCl3)2,850
7976,MnZnF6,850
7977,Sm3Ir,550
7978,FeAuO2,800
7979,Na3N,850
7980,CaSnO3,800
7981,Sr(CuO)2,950
7982,Sr2BeSi,650
7983,CaH4SO6,1300
